ID,Timepoint,Date,Plot,Treatment,Depth,MidDepth,ExOC,MBC,GWC,VWC,ExTN,MBN
74,1,20141202,1,C,80-90,85,0.063915107,0,0.105550014,0.185198055,NA,NA
78,1,20141202,1,H,10-20,15,0.283652994,0.343793033,0.493941565,0.462131728,NA,NA
82,1,20141202,1,H,50-60,55,0.202337563,0.161469866,0.232721027,0.354573757,NA,NA
85,1,20141202,1,H,80-90,85,0.016386182,0,0.089931009,0.157792948,NA,NA
88,1,20141202,2,C,10-20,15,0.043055378,0.235636855,0.396446394,0.370915246,NA,NA
92,1,20141202,2,C,50-60,55,0.033076801,0.068819717,0.241759786,0.36834521,NA,NA
95,1,20141202,2,C,80-90,85,0.032160097,0.066878855,0.113734385,0.199558351,NA,NA
99,1,20141202,2,H,10-20,15,0.039204827,0.323575156,0.332234494,0.310838593,NA,NA
103,1,20141202,2,H,50-60,55,0.025135983,0.068790344,0.188864083,0.287753317,NA,NA
106,1,20141202,2,H,80-90,85,0.012583455,0.027924616,0.093800777,0.164582844,NA,NA
109,1,20141202,3,C,10-20,15,0.053581306,0.033245978,0.351345112,0.328718486,NA,NA
113,1,20141202,3,C,50-60,55,0.014908307,0.044302994,0.287993131,0.438786334,NA,NA
116,1,20141202,3,C,80-90,85,0.017899399,0.01441106,0.185043837,0.324677916,NA,NA
120,1,20141202,3,H,10-20,15,0.047497633,0.034506163,0.307153874,0.287373164,NA,NA
124,1,20141202,3,H,50-60,55,0.032088643,0.065798947,0.212040652,0.323065138,NA,NA
127,1,20141202,3,H,80-90,85,0.028394241,0.002760694,0.09916727,0.173998891,NA,NA
130,1.5,20150602,1,C,0-10,5,0.038461538,0.262214245,0.233385796,0.172378749,NA,NA
131,1.5,20150602,1,C,10-20,15,0.114503817,0.140999221,0.201163546,0.188208614,NA,NA
133,1.5,20150602,1,C,30-40,35,0.263157895,0.124917957,0.184796522,0.234617665,NA,NA
135,1.5,20150602,1,C,50-60,55,0.407407407,0.081337013,0.161837429,0.246575506,NA,NA
138,1.5,20150602,1,C,80-90,85,0.615942029,0.021084721,0.150498152,0.264064057,NA,NA
141,1.5,20150602,1,H,0-10,5,0.035460993,1.010319193,0.415817658,0.307122922,NA,NA
142,1.5,20150602,1,H,10-20,15,0.105633803,0.139065805,0.234844335,0.21972036,NA,NA
144,1.5,20150602,1,H,30-40,35,0.243055556,0.143687196,0.310733053,0.394506684,NA,NA
146,1.5,20150602,1,H,50-60,55,0.376712329,0.440002228,0.301074472,0.458717066,NA,NA
149,1.5,20150602,1,H,80-90,85,0.570469799,0,0.11277846,0.197881086,NA,NA
152,1.5,20150602,2,C,0-10,5,0.032894737,0.427538296,0.304426611,0.224849495,NA,NA
153,1.5,20150602,2,C,10-20,15,0.098039216,0.21751287,0.279147931,0.261170804,NA,NA
155,1.5,20150602,2,C,30-40,35,0.225806452,0,0.221196113,0.280830586,NA,NA
157,1.5,20150602,2,C,50-60,55,0.350318471,0.039837583,0.159794676,0.243463168,NA,NA
160,1.5,20150602,2,C,80-90,85,0.53125,0,0.143673878,0.252090187,NA,NA
163,1.5,20150602,2,H,0-10,5,0.030674847,0.596483876,0.189141722,0.139700076,NA,NA
164,1.5,20150602,2,H,10-20,15,0.091463415,0.457021662,0.174880369,0.163618073,NA,NA
166,1.5,20150602,2,H,30-40,35,0.210843373,0.15470573,0.160645308,0.203955283,NA,NA
